
Trained 200 at 57.62289071083069 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.899', '1.561', '0.314']
Trained 528 at 13443.232439279556 seconds for [968, 141, 640] epochs and to a loss of ['0.2', '0.199', '0.2']
Trained 532 at 13446.365131855011 seconds for [885, 286, 635] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 536 at 13449.706896066666 seconds for [816, 468, 621] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 540 at 13453.265501022339 seconds for [735, 642, 669] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 544 at 13457.196913480759 seconds for [704, 773, 766] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 548 at 13461.226191282272 seconds for [681, 796, 845] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 552 at 13465.803353786469 seconds for [781, 929, 928] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 13470.873958349228 seconds for [805, 1114, 987] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 13476.080480575562 seconds for [776, 1225, 999] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 13481.171235084534 seconds for [705, 1239, 981] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 13486.078792333603 seconds for [619, 1205, 1012] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 13490.86128950119 seconds for [684, 1152, 939] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 13495.992146015167 seconds for [1036, 1086, 837] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 13501.423246145248 seconds for [1307, 1043, 772] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 13506.65010380745 seconds for [1324, 994, 690] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 13511.520101070404 seconds for [1255, 936, 609] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 13516.083781719208 seconds for [1199, 893, 564] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 13520.43423128128 seconds for [1159, 841, 509] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 13524.830267190933 seconds for [1328, 740, 453] epochs and to a loss of ['0.2', '0.2', '0.2']
