
Trained 200 at 43.88611674308777 seconds for [10000, 3675, 10000] epochs and to a loss of ['0.792', '0.2', '0.413']
Trained 536 at 11236.84546303749 seconds for [629, 1301, 574] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 540 at 11241.282524108887 seconds for [654, 1585, 542] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 544 at 11246.463456869125 seconds for [676, 2068, 564] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 548 at 11252.220670700073 seconds for [697, 2375, 592] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 552 at 11258.266945838928 seconds for [720, 2562, 582] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 11264.469305753708 seconds for [738, 2677, 546] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 11270.75214099884 seconds for [749, 2654, 592] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 11277.21371269226 seconds for [769, 2660, 682] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 11283.968662261963 seconds for [784, 2743, 786] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 11291.4248316288 seconds for [1032, 2838, 896] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 11299.065464258194 seconds for [1097, 2779, 1004] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 11306.723756313324 seconds for [1083, 2719, 1083] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 11314.223242044449 seconds for [1088, 2500, 1171] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 11321.48653268814 seconds for [1012, 2307, 1343] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 11328.211797714233 seconds for [895, 1893, 1495] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 11333.957221031189 seconds for [769, 1426, 1482] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 11339.315749883652 seconds for [690, 1125, 1595] epochs and to a loss of ['0.2', '0.2', '0.2']
